Input = 60, output =  -1260
Input = 21, output =  -431
Input = 51, output =  -1059
Input = 89, output =  -1903
Input = 91, output =  -1941
Input = 10, output =  -210
Input = 67, output =  -1443
Input = 11, output =  -211
Input = 52, output =  -1059
Input = 82, output =  -1758
Input = 37, output =  -785
Input = 97, output =  -2093
Input = 22, output =  -442
Input = 92, output =  -2092
Input = 36, output =  -741
Input = 86, output =  -1834
Input = 5, output =  -35
Input = 77, output =  -1663
Input = 6, output =  -30
Input = 17, output =  -305
