Input = 60, output =  -1340
Input = 21, output =  -465
Input = 51, output =  -1137
Input = 89, output =  -2041
Input = 91, output =  -2091
Input = 10, output =  -250
Input = 67, output =  -1511
Input = 11, output =  -283
Input = 52, output =  -1176
Input = 82, output =  -1866
Input = 37, output =  -874
Input = 97, output =  -2199
Input = 22, output =  -478
Input = 92, output =  -2092
Input = 36, output =  -812
Input = 86, output =  -1955
Input = 5, output =  -55
Input = 77, output =  -1745
Input = 6, output =  -56
Input = 17, output =  -349
