Input = 60, output =  1107
Input = 21, output =  397
Input = 51, output =  929
Input = 89, output =  1611
Input = 91, output =  1641
Input = 10, output =  199
Input = 67, output =  1221
Input = 11, output =  211
Input = 52, output =  962
Input = 82, output =  1472
Input = 37, output =  717
Input = 97, output =  1713
Input = 22, output =  437
Input = 92, output =  1662
Input = 36, output =  659
Input = 86, output =  1562
Input = 5, output =  95
Input = 77, output =  1397
Input = 6, output =  113
Input = 17, output =  309
