Input = 60, output =  -1551
Input = 21, output =  -611
Input = 51, output =  -1345
Input = 89, output =  -2351
Input = 91, output =  -2537
Input = 10, output =  -310
Input = 67, output =  -1777
Input = 11, output =  -333
Input = 52, output =  -1357
Input = 82, output =  -2217
Input = 37, output =  -1049
Input = 97, output =  -2593
Input = 22, output =  -621
Input = 92, output =  -2406
Input = 36, output =  -1061
Input = 86, output =  -2271
Input = 5, output =  -135
Input = 77, output =  -2033
Input = 6, output =  -151
Input = 17, output =  -465
