Input = 60, output =  1160
Input = 21, output =  441
Input = 51, output =  961
Input = 89, output =  1637
Input = 91, output =  1608
Input = 10, output =  10
Input = 67, output =  1281
Input = 11, output =  121
Input = 52, output =  976
Input = 82, output =  1514
Input = 37, output =  693
Input = 97, output =  1693
Input = 22, output =  441
Input = 92, output =  1764
Input = 36, output =  648
Input = 86, output =  1534
Input = 5, output =  25
Input = 77, output =  1493
Input = 6, output =  36
Input = 17, output =  289
