Input = 60, output =  -1260
Input = 21, output =  -521
Input = 51, output =  -1067
Input = 89, output =  -1789
Input = 91, output =  -1791
Input = 10, output =  -10
Input = 67, output =  -1467
Input = 11, output =  -8
Input = 52, output =  -1097
Input = 82, output =  -1764
Input = 37, output =  -819
Input = 97, output =  -1697
Input = 22, output =  -567
Input = 92, output =  -1792
Input = 36, output =  -819
Input = 86, output =  -1806
Input = 5, output =  -5
Input = 77, output =  -1677
Input = 6, output =  -8
Input = 17, output =  -521
