Input = 60, output =  -1377
Input = 21, output =  -521
Input = 51, output =  -1097
Input = 89, output =  -1889
Input = 91, output =  -1890
Input = 10, output =  -10
Input = 67, output =  -1452
Input = 11, output =  -8
Input = 52, output =  -1097
Input = 82, output =  -1864
Input = 37, output =  -826
Input = 97, output =  -1797
Input = 22, output =  -521
Input = 92, output =  -1892
Input = 36, output =  -819
Input = 86, output =  -1930
Input = 5, output =  -10
Input = 77, output =  -1677
Input = 6, output =  -8
Input = 17, output =  -521
