Input = 60, output =  1590
Input = 21, output =  641
Input = 51, output =  1331
Input = 89, output =  2221
Input = 91, output =  2221
Input = 10, output =  5
Input = 67, output =  1637
Input = 11, output =  611
Input = 52, output =  1324
Input = 82, output =  2093
Input = 37, output =  937
Input = 97, output =  2297
Input = 22, output =  676
Input = 92, output =  2222
Input = 36, output =  891
Input = 86, output =  2122
Input = 5, output =  1
Input = 6
Input = 77, output =  1877
Input = 6, output =  6
Input = 7
Input = 17, output =  641
