Input = 60, output =  -1621
Input = 21, output =  -829
Input = 51, output =  -1310
Input = 89, output =  -2346
Input = 91, output =  -2346
Input = 10, output =  -10
Input = 67, output =  -1607
Input = 11, output =  -829
Input = 52, output =  -1321
Input = 82, output =  -2177
Input = 37, output =  -977
Input = 97, output =  -2414
Input = 22, output =  -845
Input = 92, output =  -2411
Input = 36, output =  -977
Input = 86, output =  -2236
Input = 5, output =  -10
Input = 77, output =  -1804
Input = 6, output =  -10
Input = 17, output =  -829
