Input = 76, output = -1711
Input = 14, output = -342
Input = 41, output = -890
Input = 4, output = -138
Input = 3, output = -30
Input = 96, output = -2104
Input = 84, output = -1769
Input = 70, output = -1565
Input = 2, output = -15
Input = 49, output = -980
Input = 88, output = -1833
Input = 28, output = -648
Input = 55, output = -1147
Input = 94, output = -2078
Input = 68, output = -1441
Input = 29, output = -642
Input = 57, output = -1181
Input = 64, output = -1348
Input = 71, output = -1519
Input = 30, output = -643
Input = 45, output = -962
Input = 80, output = -1679
Input = 93, output = -2037
Input = 59, output = -1288
Input = 38, output = -755
Input = 95, output = -1938
Input = 54, output = -1154
Input = 72, output = -1556
Input = 13, output = -266
Input = 24, output = -494
Input = 75, output = -1553
Input = 16, output = -332
Input = 43, output = -875
Input = 65, output = -1359
Input = 87, output = -1807
Input = 25, output = -484
Input = 20, output = -372
Input = 19, output = -445
Input = 69, output = -1446
Input = 83, output = -1757
Input = 32, output = -613
Input = 66, output = -1424
Input = 33, output = -653
Input = 26, output = -365
Input = 61, output = -1264
Input = 74, output = -1655
Input = 31, output = -633
Input = 85, output = -1806
Input = 48, output = -999
Input = 56, output = -1166
