Input = 76, output = -1716
Input = 14, output = -282
Input = 41, output = -874
Input = 4, output = -82
Input = 3, output = -55
Input = 96, output = -2171
Input = 84, output = -1932
Input = 70, output = -1581
Input = 2, output = -7
Input = 49, output = -1160
Input = 88, output = -1936
Input = 28, output = -567
Input = 55, output = -1102
Input = 94, output = -2092
Input = 68, output = -1530
Input = 29, output = -589
Input = 57, output = -1230
Input = 64, output = -1441
Input = 71, output = -1538
Input = 30, output = -662
Input = 45, output = -1043
Input = 80, output = -1838
Input = 93, output = -2084
Input = 59, output = -1378
Input = 38, output = -829
Input = 95, output = -2155
Input = 54, output = -1175
Input = 72, output = -1692
Input = 13, output = -349
Input = 24, output = -516
Input = 75, output = -1768
Input = 16, output = -360
Input = 43, output = -958
Input = 65, output = -1492
Input = 87, output = -2024
Input = 25, output = -572
Input = 20, output = -490
Input = 19, output = -413
Input = 69, output = -1504
Input = 83, output = -1908
Input = 32, output = -773
Input = 66, output = -1518
Input = 33, output = -733
Input = 26, output = -626
Input = 61, output = -1278
Input = 74, output = -1694
Input = 31, output = -688
Input = 85, output = -1998
Input = 48, output = -1051
Input = 56, output = -1258
