Input = 76, output = 1883
Input = 14, output = 528
Input = 41, output = 1025
Input = 4, output = 122
Input = 3, output = 141
Input = 96, output = 2450
Input = 84, output = 2131
Input = 70, output = 1793
Input = 2, output = 171
Input = 49, output = 1325
Input = 88, output = 2263
Input = 28, output = 794
Input = 55, output = 1376
Input = 94, output = 2463
Input = 68, output = 1745
Input = 29, output = 737
Input = 57, output = 1460
Input = 64, output = 1646
Input = 71, output = 1663
Input = 30, output = 761
Input = 45, output = 1139
Input = 80, output = 1970
Input = 93, output = 2364
Input = 59, output = 1486
Input = 38, output = 1048
Input = 95, output = 2375
Input = 54, output = 1346
Input = 72, output = 1850
Input = 13, output = 347
Input = 24, output = 640
Input = 75, output = 1836
Input = 16, output = 457
Input = 43, output = 1105
Input = 65, output = 1690
Input = 87, output = 2268
Input = 25, output = 670
Input = 20, output = 502
Input = 19, output = 484
Input = 69, output = 1726
Input = 83, output = 2192
Input = 32, output = 904
Input = 66, output = 1634
Input = 33, output = 882
Input = 26, output = 698
Input = 61, output = 1607
Input = 74, output = 1888
Input = 31, output = 849
Input = 85, output = 2195
Input = 48, output = 1339
Input = 56, output = 1454
