Input = 76, output = 1919
Input = 14, output = 431
Input = 41, output = 1079
Input = 4, output = 191
Input = 3, output = 167
Input = 96, output = 2399
Input = 84, output = 2111
Input = 70, output = 1775
Input = 2, output = 143
Input = 49, output = 1271
Input = 88, output = 2207
Input = 28, output = 767
Input = 55, output = 1415
Input = 94, output = 2351
Input = 68, output = 1727
Input = 29, output = 791
Input = 57, output = 1463
Input = 64, output = 1631
Input = 71, output = 1799
Input = 30, output = 815
Input = 45, output = 1175
Input = 80, output = 2015
Input = 93, output = 2327
Input = 59, output = 1511
Input = 38, output = 1007
Input = 95, output = 2375
Input = 54, output = 1391
Input = 72, output = 1823
Input = 13, output = 407
Input = 24, output = 671
Input = 75, output = 1895
Input = 16, output = 479
Input = 43, output = 1127
Input = 65, output = 1655
Input = 87, output = 2183
Input = 25, output = 695
Input = 20, output = 575
Input = 19, output = 551
Input = 69, output = 1751
Input = 83, output = 2087
Input = 32, output = 863
Input = 66, output = 1679
Input = 33, output = 887
Input = 26, output = 719
Input = 61, output = 1559
Input = 74, output = 1871
Input = 31, output = 839
Input = 85, output = 2135
Input = 48, output = 1247
Input = 56, output = 1439
