Input = 76, output = -1722
Input = 14, output = -296
Input = 41, output = -917
Input = 4, output = -66
Input = 3, output = -43
Input = 96, output = -2182
Input = 84, output = -1906
Input = 70, output = -1584
Input = 2, output = -20
Input = 49, output = -1101
Input = 88, output = -1998
Input = 28, output = -618
Input = 55, output = -1239
Input = 94, output = -2136
Input = 68, output = -1538
Input = 29, output = -641
Input = 57, output = -1285
Input = 64, output = -1446
Input = 71, output = -1607
Input = 30, output = -664
Input = 45, output = -1009
Input = 80, output = -1814
Input = 93, output = -2113
Input = 59, output = -1331
Input = 38, output = -848
Input = 95, output = -2159
Input = 54, output = -1216
Input = 72, output = -1630
Input = 13, output = -273
Input = 24, output = -526
Input = 75, output = -1699
Input = 16, output = -342
Input = 43, output = -963
Input = 65, output = -1469
Input = 87, output = -1975
Input = 25, output = -549
Input = 20, output = -434
Input = 19, output = -411
Input = 69, output = -1561
Input = 83, output = -1883
Input = 32, output = -710
Input = 66, output = -1492
Input = 33, output = -733
Input = 26, output = -572
Input = 61, output = -1377
Input = 74, output = -1676
Input = 31, output = -687
Input = 85, output = -1929
Input = 48, output = -1078
Input = 56, output = -1262
