Input = 76, output = -1627
Input = 14, output = -263
Input = 41, output = -857
Input = 4, output = -43
Input = 3, output = -21
Input = 96, output = -2067
Input = 84, output = -1803
Input = 70, output = -1495
Input = 2, output = 1
Input = 49, output = -1033
Input = 88, output = -1891
Input = 28, output = -571
Input = 55, output = -1165
Input = 94, output = -2023
Input = 68, output = -1451
Input = 29, output = -593
Input = 57, output = -1209
Input = 64, output = -1363
Input = 71, output = -1517
Input = 30, output = -615
Input = 45, output = -945
Input = 80, output = -1715
Input = 93, output = -2001
Input = 59, output = -1253
Input = 38, output = -791
Input = 95, output = -2045
Input = 54, output = -1143
Input = 72, output = -1539
Input = 13, output = -241
Input = 24, output = -483
Input = 75, output = -1605
Input = 16, output = -307
Input = 43, output = -901
Input = 65, output = -1385
Input = 87, output = -1869
Input = 25, output = -505
Input = 20, output = -395
Input = 19, output = -373
Input = 69, output = -1473
Input = 83, output = -1781
Input = 32, output = -659
Input = 66, output = -1407
Input = 33, output = -681
Input = 26, output = -527
Input = 61, output = -1297
Input = 74, output = -1583
Input = 31, output = -637
Input = 85, output = -1825
Input = 48, output = -1011
Input = 56, output = -1187
