Input = 60, output =  -1260
Input = 21, output =  -307
Input = 51, output =  -1051
Input = 89, output =  -1889
Input = 91, output =  -1921
Input = 10, output =  -130
Input = 67, output =  -1403
Input = 11, output =  -211
Input = 52, output =  -1074
Input = 82, output =  -1714
Input = 37, output =  -743
Input = 97, output =  -2033
Input = 22, output =  -362
Input = 92, output =  -1918
Input = 36, output =  -742
Input = 86, output =  -1786
Input = 5, output =  -45
Input = 77, output =  -1569
Input = 6, output =  -36
Input = 17, output =  -283
