Input = 60, output =  -1296
Input = 21, output =  -405
Input = 51, output =  -1137
Input = 89, output =  -2029
Input = 91, output =  -2037
Input = 10, output =  -210
Input = 67, output =  -1467
Input = 11, output =  -273
Input = 52, output =  -1176
Input = 82, output =  -1706
Input = 37, output =  -821
Input = 97, output =  -2199
Input = 22, output =  -444
Input = 92, output =  -2086
Input = 36, output =  -744
Input = 86, output =  -1872
Input = 5, output =  -67
Input = 77, output =  -1689
Input = 6, output =  -78
Input = 17, output =  -337
