Input = 60, output =  1090
Input = 21, output =  409
Input = 51, output =  929
Input = 89, output =  1621
Input = 91, output =  1651
Input = 10, output =  210
Input = 67, output =  1201
Input = 11, output =  211
Input = 52, output =  927
Input = 82, output =  1476
Input = 37, output =  693
Input = 97, output =  1793
Input = 22, output =  441
Input = 92, output =  1666
Input = 36, output =  636
Input = 86, output =  1526
Input = 5, output =  95
Input = 77, output =  1393
Input = 6, output =  111
Input = 17, output =  289
