Input = 60, output =  1590
Input = 21, output =  621
Input = 51, output =  1313
Input = 89, output =  2221
Input = 91, output =  2271
Input = 10, output =  330
Input = 67, output =  1681
Input = 11, output =  363
Input = 52, output =  1314
Input = 82, output =  2082
Input = 37, output =  921
Input = 97, output =  2493
Input = 22, output =  622
Input = 92, output =  2300
Input = 36, output =  912
Input = 86, output =  2111
Input = 5, output =  195
Input = 77, output =  1887
Input = 6, output =  216
Input = 17, output =  547
